n,tangent,t2
0,0.0624188,0.0624188
1,0.0624188,0.0624188
2,0.0624188,0.0624188
3,0.0624188,0.0624188
4,0.0624188,0.0624188
5,0.0624188,0.0624188
6,0.0624188,0.0624188
7,0.0624188,0.0624188
8,0.0624188,0.0624188
9,0.0624188,0.0624188
10,0.0624188,0.0624188
11,0.0624188,0.0624188
12,0.0624188,0.0624188
13,0.0624188,0.0624188
14,0.0624188,0.0624188
15,0.0624188,0.0624188
16,0.0624188,0.0624188
17,0.380506,0.380506
18,0.380506,0.380506
19,0.380506,0.380506
20,1.10715,1.10715
21,1.10715,1.10715
22,1.10715,1.10715
23,5.69518,-0.588003
24,5.69518,-0.588003
25,5.69518,-0.588003
26,6.03821,-0.244979
27,6.03821,-0.244979
28,0.244979,0.244979
29,0.244979,0.244979
30,0.588003,0.588003
31,0.588003,0.588003
32,0.588003,0.588003
33,2.67795,2.67795
34,2.67795,2.67795
35,2.67795,2.67795
36,0.588003,0.588003
37,0.588003,0.588003
38,0.588003,0.588003
39,0.588003,0.588003
40,1.24905,1.24905
41,1.24905,1.24905
42,1.24905,1.24905
43,0.321751,0.321751
44,0.321751,0.321751
45,0.321751,0.321751
46,0.643501,0.643501
47,0.643501,0.643501
48,0.643501,0.643501
49,0.643501,0.643501
50,0.643501,0.643501
51,0.643501,0.643501
52,0.643501,0.643501
53,0.643501,0.643501
54,2.81984,2.81984
55,2.81984,2.81984
56,2.81984,2.81984
57,2.81984,2.81984
58,0.141897,0.141897
59,0.141897,0.141897
60,0.141897,0.141897
61,0.141897,0.141897
62,0.141897,0.141897
63,0.141897,0.141897
64,0.141897,0.141897
65,0.643501,0.643501
66,0.643501,0.643501
67,0.927295,0.927295
68,0.927295,0.927295
69,1.4289,1.4289
70,1.4289,1.4289
71,1.4289,1.4289
72,1.4289,1.4289
73,1.4289,1.4289
74,1.4289,1.4289
75,1.4289,1.4289
76,1.4289,1.4289
77,1.4289,1.4289
78,1.4289,1.4289
79,1.89255,1.89255
80,2.1588,2.1588
81,2.1588,2.1588
82,2.1588,2.1588
83,2.1588,2.1588
84,0.927295,0.927295
85,0.927295,0.927295
86,0.927295,0.927295
87,0.927295,0.927295
88,0.927295,0.927295
89,0.927295,0.927295
90,1.03038,1.03038
91,1.03038,1.03038
92,1.03038,1.03038
93,1.03038,1.03038
94,1.03038,1.03038
95,1.03038,1.03038
96,1.03038,1.03038
97,1.03038,1.03038
98,1.24905,1.24905
99,1.24905,1.24905
100,1.24905,1.24905
101,0.982794,0.982794
102,0.54042,0.54042
103,0.54042,0.54042
104,0.54042,0.54042
105,0.54042,0.54042
106,0.54042,0.54042
107,0.54042,0.54042
108,0.54042,0.54042
109,0.982794,0.982794
110,1.26274,1.26274
111,1.26274,1.26274
112,1.26274,1.26274
113,1.26274,1.26274
114,1.26274,1.26274
115,1.26274,1.26274
116,1.26274,1.26274
117,1.26274,1.26274
118,1.26274,1.26274
119,1.26274,1.26274
120,1.26274,1.26274
121,1.26274,1.26274
122,1.26274,1.26274
123,1.26274,1.26274
124,1.26274,1.26274
125,1.26274,1.26274
126,1.26274,1.26274
127,1.26274,1.26274
128,1.26274,1.26274
129,1.26274,1.26274
130,1.26274,1.26274
131,1.26274,1.26274
132,1.26274,1.26274
133,1.26274,1.26274
134,1.3734,1.3734
135,1.3734,1.3734
136,1.3734,1.3734
137,1.3734,1.3734
138,1.3734,1.3734
139,1.21203,1.21203
140,1.21203,1.21203
141,1.21203,1.21203
142,1.21203,1.21203
143,1.21203,1.21203
144,1.21203,1.21203
145,1.2925,1.2925
146,1.2925,1.2925
147,1.40565,1.40565
148,1.40565,1.40565
149,1.40565,1.40565
150,1.40565,1.40565
151,1.40565,1.40565
152,1.40565,1.40565
153,1.19029,1.19029
154,1.19029,1.19029
155,1.03038,1.03038
156,0.927295,0.927295
157,0.927295,0.927295
158,0.674741,0.674741
159,0.674741,0.674741
160,0.674741,0.674741
161,0.674741,0.674741
162,0.674741,0.674741
163,0.674741,0.674741
164,0.674741,0.674741
165,0.896055,0.896055
166,0.896055,0.896055
167,0.896055,0.896055
168,1.03038,1.03038
169,1.03038,1.03038
170,1.19029,1.19029
171,1.3734,1.3734
172,1.3734,1.3734
173,1.3734,1.3734
174,1.3734,1.3734
175,1.3734,1.3734
176,0.851966,0.851966
177,0.851966,0.851966
178,0.851966,0.851966
179,0.851966,0.851966
180,0.851966,0.851966
181,0.851966,0.851966
182,0.71883,0.71883
183,0.71883,0.71883
184,0.71883,0.71883
185,0.71883,0.71883
186,0.71883,0.71883
187,0.71883,0.71883
188,0.54042,0.54042
189,0.54042,0.54042
190,0.54042,0.54042
191,0.54042,0.54042
192,0.54042,0.54042
193,0.54042,0.54042
194,0.54042,0.54042
195,0.54042,0.54042
196,0.54042,0.54042
197,0.54042,0.54042
198,0.54042,0.54042
199,0.54042,0.54042
200,0.54042,0.54042
201,0.54042,0.54042
202,0.982794,0.982794
203,1.24905,1.24905
204,1.24905,1.24905
205,1.24905,1.24905
206,0.298499,0.298499
207,0.298499,0.298499
208,0.298499,0.298499
209,0.298499,0.298499
210,0.298499,0.298499
211,0.298499,0.298499
212,0.298499,0.298499
213,0.298499,0.298499
214,0.298499,0.298499
215,0.298499,0.298499
216,0.298499,0.298499
217,0.298499,0.298499
218,0.197396,0.197396
219,0.197396,0.197396
220,0.197396,0.197396
