n,tangent,t2
0,1.49949,1.49949
1,1.49949,1.49949
2,1.49949,1.49949
3,1.49949,1.49949
4,1.49949,1.49949
5,1.49949,1.49949
6,1.49949,1.49949
7,1.49949,1.49949
8,1.49949,1.49949
9,1.49949,1.49949
10,1.49949,1.49949
11,1.49949,1.49949
12,1.6421,1.6421
13,1.6421,1.6421
14,1.6421,1.6421
15,1.6421,1.6421
16,1.6421,1.6421
17,1.6421,1.6421
18,1.6421,1.6421
19,2.08994,2.08994
20,2.08994,2.08994
21,2.08994,2.08994
22,2.08994,2.08994
23,2.08994,2.08994
24,2.08994,2.08994
25,1.97569,1.97569
26,1.97569,1.97569
27,1.97569,1.97569
28,1.67046,1.67046
29,1.67046,1.67046
30,1.67046,1.67046
31,1.67046,1.67046
32,1.67046,1.67046
33,1.67046,1.67046
34,1.67046,1.67046
35,1.67046,1.67046
36,1.67046,1.67046
37,1.67046,1.67046
38,2.1588,2.1588
39,2.1588,2.1588
40,2.1588,2.1588
41,1.78947,1.78947
42,1.78947,1.78947
43,1.78947,1.78947
44,1.78947,1.78947
45,1.78947,1.78947
46,1.62338,1.62338
47,1.62338,1.62338
48,1.62338,1.62338
49,1.62338,1.62338
50,1.62338,1.62338
51,1.62338,1.62338
52,1.62338,1.62338
53,1.62338,1.62338
54,1.62338,1.62338
55,1.62338,1.62338
56,1.62338,1.62338
57,1.62338,1.62338
58,1.62338,1.62338
59,1.62338,1.62338
60,1.62338,1.62338
61,1.62338,1.62338
62,1.62338,1.62338
63,1.62338,1.62338
64,1.62338,1.62338
65,1.78947,1.78947
66,1.78947,1.78947
67,1.78947,1.78947
68,1.83705,1.83705
69,1.83705,1.83705
70,1.8693,1.8693
71,1.8693,1.8693
72,1.8693,1.8693
73,1.8693,1.8693
74,1.8693,1.8693
75,1.8693,1.8693
76,1.8693,1.8693
77,1.8693,1.8693
78,1.8693,1.8693
79,1.8693,1.8693
80,1.8693,1.8693
81,1.8693,1.8693
82,2.2143,2.2143
83,2.2143,2.2143
84,2.2143,2.2143
85,2.2143,2.2143
86,2.2143,2.2143
87,2.2143,2.2143
88,2.2143,2.2143
89,2.46685,2.46685
90,2.46685,2.46685
91,2.46685,2.46685
92,2.46685,2.46685
93,2.46685,2.46685
94,2.24554,2.24554
95,2.24554,2.24554
96,2.24554,2.24554
97,1.8491,1.8491
98,1.8491,1.8491
99,1.8491,1.8491
100,1.8491,1.8491
101,1.8491,1.8491
102,1.8491,1.8491
103,1.8491,1.8491
104,1.8491,1.8491
105,1.8491,1.8491
106,1.8491,1.8491
107,0.785398,0.785398
108,0.785398,0.785398
109,1.75065,1.75065
110,1.75065,1.75065
111,1.75065,1.75065
112,1.75065,1.75065
113,1.75065,1.75065
114,1.75065,1.75065
115,1.75065,1.75065
116,1.75065,1.75065
117,1.75065,1.75065
118,1.75065,1.75065
119,1.40565,1.40565
120,1.40565,1.40565
121,1.40565,1.40565
122,0.927295,0.927295
123,0.927295,0.927295
124,0.927295,0.927295
125,0.927295,0.927295
126,0.927295,0.927295
127,0.927295,0.927295
128,0.927295,0.927295
129,0.643501,0.643501
130,0.643501,0.643501
131,0.643501,0.643501
132,0.643501,0.643501
133,0.927295,0.927295
134,0.927295,0.927295
135,0.927295,0.927295
136,0.927295,0.927295
137,0.463648,0.463648
138,0.463648,0.463648
139,1.03038,1.03038
140,1.03038,1.03038
141,1.03038,1.03038
142,1.03038,1.03038
143,1.03038,1.03038
144,1.03038,1.03038
145,1.03038,1.03038
146,1.19029,1.19029
147,1.44644,1.44644
148,1.44644,1.44644
149,1.44644,1.44644
150,1.44644,1.44644
151,1.69515,1.69515
152,1.69515,1.69515
153,1.69515,1.69515
154,1.69515,1.69515
155,1.78947,1.78947
156,1.78947,1.78947
157,1.78947,1.78947
158,1.78947,1.78947
159,1.78947,1.78947
160,1.98902,1.98902
161,1.98902,1.98902
162,1.98902,1.98902
163,1.98902,1.98902
164,1.98902,1.98902
165,1.98902,1.98902
166,1.98902,1.98902
167,1.98902,1.98902
168,1.98902,1.98902
169,2.52134,2.52134
170,2.52134,2.52134
171,2.52134,2.52134
172,2.52134,2.52134
173,2.52134,2.52134
174,2.52134,2.52134
175,2.52134,2.52134
176,2.52134,2.52134
177,2.52134,2.52134
178,2.52134,2.52134
179,2.52134,2.52134
180,2.52134,2.52134
181,2.52134,2.52134
182,2.52134,2.52134
183,2.1588,2.1588
184,2.1588,2.1588
185,2.1588,2.1588
186,2.55359,2.55359
187,2.55359,2.55359
188,2.55359,2.55359
189,1.98902,1.98902
190,1.98902,1.98902
191,1.98902,1.98902
192,1.98902,1.98902
193,1.98902,1.98902
194,1.98902,1.98902
195,1.98902,1.98902
196,1.98902,1.98902
197,1.98902,1.98902
198,1.92957,1.92957
199,1.92957,1.92957
200,1.8491,1.8491
201,1.8491,1.8491
202,1.68145,1.68145
203,1.68145,1.68145
204,1.68145,1.68145
205,1.68145,1.68145
206,1.68145,1.68145
207,1.68145,1.68145
208,1.68145,1.68145
209,1.68145,1.68145
210,1.68145,1.68145
211,1.70335,1.70335
212,1.70335,1.70335
213,1.70335,1.70335
214,1.70335,1.70335
215,1.70335,1.70335
216,1.70335,1.70335
217,1.70335,1.70335
218,1.70335,1.70335
219,1.75065,1.75065
220,1.75065,1.75065
221,1.75065,1.75065
222,1.75065,1.75065
223,1.75065,1.75065
224,1.75065,1.75065
225,1.75065,1.75065
226,1.75065,1.75065
227,1.10715,1.10715
228,1.10715,1.10715
229,1.10715,1.10715
230,1.62955,1.62955
231,1.62955,1.62955
232,1.62955,1.62955
233,1.62955,1.62955
234,1.62955,1.62955
235,1.62955,1.62955
236,1.62955,1.62955
237,1.62955,1.62955
238,1.62955,1.62955
239,1.62955,1.62955
240,1.62955,1.62955
241,1.51204,1.51204
242,1.51204,1.51204
243,1.51204,1.51204
244,1.51204,1.51204
245,1.51204,1.51204
246,1.51204,1.51204
247,1.51204,1.51204
248,1.51204,1.51204
249,1.2925,1.2925
250,1.2925,1.2925
