n,tangent,t2
0,4.95737,-1.32582
1,4.95737,-1.32582
2,4.95737,-1.32582
3,4.95737,-1.32582
4,4.95737,-1.32582
5,4.95737,-1.32582
6,4.95737,-1.32582
7,4.95737,-1.32582
8,4.95737,-1.32582
9,4.95737,-1.32582
10,5.43122,-0.851966
11,5.43122,-0.851966
12,5.43122,-0.851966
13,5.43122,-0.851966
14,5.43122,-0.851966
15,5.43122,-0.851966
16,5.56436,-0.71883
17,5.56436,-0.71883
18,5.56436,-0.71883
19,5.56436,-0.71883
20,5.56436,-0.71883
21,5.56436,-0.71883
22,6.19253,-0.0906599
23,6.19253,-0.0906599
24,6.19253,-0.0906599
25,6.19253,-0.0906599
26,6.19253,-0.0906599
27,6.19253,-0.0906599
28,0.0906599,0.0906599
29,0.0906599,0.0906599
30,0.0906599,0.0906599
31,0.0906599,0.0906599
32,0.0906599,0.0906599
33,0.2783,0.2783
34,0.2783,0.2783
35,0.358771,0.358771
36,0.358771,0.358771
37,0.358771,0.358771
38,0.358771,0.358771
39,0.54042,0.54042
40,0.620249,0.620249
41,0.620249,0.620249
42,0.620249,0.620249
43,0.620249,0.620249
44,0.620249,0.620249
45,0.620249,0.620249
46,0.620249,0.620249
47,0.620249,0.620249
48,0.620249,0.620249
49,0.620249,0.620249
50,0.620249,0.620249
51,0.620249,0.620249
52,0.927295,0.927295
53,0.927295,0.927295
54,0.927295,0.927295
55,0.927295,0.927295
56,0.643501,0.643501
57,0.643501,0.643501
58,0.558599,0.558599
59,0.558599,0.558599
60,0.558599,0.558599
61,0.558599,0.558599
62,0.558599,0.558599
63,0.558599,0.558599
64,0.558599,0.558599
65,0.558599,0.558599
66,0.620249,0.620249
67,0.620249,0.620249
68,0.674741,0.674741
69,0.674741,0.674741
70,0.674741,0.674741
71,0.674741,0.674741
72,0.674741,0.674741
73,0.674741,0.674741
74,0.674741,0.674741
75,0.54042,0.54042
76,0.54042,0.54042
77,0.380506,0.380506
78,0.156602,0.156602
79,0.156602,0.156602
80,0.156602,0.156602
81,0.156602,0.156602
82,0.156602,0.156602
83,0.156602,0.156602
84,0.156602,0.156602
85,0.156602,0.156602
86,0.156602,0.156602
87,0.156602,0.156602
88,0.156602,0.156602
89,0.156602,0.156602
90,0.156602,0.156602
91,0.156602,0.156602
92,0.0906599,0.0906599
93,0.0906599,0.0906599
94,0.0906599,0.0906599
95,0.0906599,0.0906599
96,0.0906599,0.0906599
97,0.0906599,0.0906599
98,6.19253,-0.0906599
99,6.19253,-0.0906599
100,6.19253,-0.0906599
101,6.19253,-0.0906599
102,6.19253,-0.0906599
103,5.90268,-0.380506
104,5.90268,-0.380506
105,5.74277,-0.54042
106,5.63968,-0.643501
107,5.63968,-0.643501
108,5.63968,-0.643501
109,5.63968,-0.643501
110,5.63968,-0.643501
111,5.96143,-0.321751
112,5.96143,-0.321751
113,5.96143,-0.321751
114,5.57456,-0.708626
115,5.57456,-0.708626
116,5.57456,-0.708626
117,5.57456,-0.708626
118,5.57456,-0.708626
119,5.57456,-0.708626
120,5.57456,-0.708626
121,5.57456,-0.708626
122,5.57456,-0.708626
123,5.57456,-0.708626
124,5.57456,-0.708626
125,5.74277,-0.54042
126,5.74277,-0.54042
127,5.74277,-0.54042
128,5.74277,-0.54042
129,5.74277,-0.54042
130,5.17604,-1.10715
131,5.17604,-1.10715
132,5.69518,-0.588003
133,5.69518,-0.588003
134,5.69518,-0.588003
135,5.23154,-1.05165
136,5.23154,-1.05165
137,5.23154,-1.05165
138,5.23154,-1.05165
139,5.11728,-1.1659
140,5.11728,-1.1659
141,5.11728,-1.1659
142,4.90978,-1.3734
143,4.90978,-1.3734
144,4.90978,-1.3734
145,4.90978,-1.3734
146,4.90978,-1.3734
147,5.0929,-1.19029
148,5.0929,-1.19029
149,5.0929,-1.19029
150,5.0929,-1.19029
151,4.80305,-1.48014
152,4.80305,-1.48014
153,4.80305,-1.48014
154,4.80305,-1.48014
155,4.80305,-1.48014
156,4.80305,-1.48014
157,4.62173,-1.66146
158,4.62173,-1.66146
159,4.62173,-1.66146
160,4.62173,-1.66146
161,4.62173,-1.66146
162,4.49372,-1.78947
163,4.49372,-1.78947
164,4.49372,-1.78947
165,4.49372,-1.78947
166,4.49372,-1.78947
167,4.49372,-1.78947
168,4.58803,-1.69515
169,4.58803,-1.69515
170,4.58803,-1.69515
171,4.58803,-1.69515
172,4.83674,-1.44644
173,4.83674,-1.44644
174,4.83674,-1.44644
175,4.83674,-1.44644
176,4.83674,-1.44644
177,4.83674,-1.44644
178,4.83674,-1.44644
179,4.83674,-1.44644
180,4.83674,-1.44644
181,4.83674,-1.44644
182,4.83674,-1.44644
183,4.83674,-1.44644
184,4.83674,-1.44644
185,4.89224,-1.39094
186,4.89224,-1.39094
187,4.89224,-1.39094
188,4.89224,-1.39094
189,4.89224,-1.39094
190,4.89224,-1.39094
191,5.07116,-1.21203
192,5.07116,-1.21203
193,5.07116,-1.21203
194,5.07116,-1.21203
195,5.07116,-1.21203
196,5.07116,-1.21203
197,4.99069,-1.2925
198,4.99069,-1.2925
199,4.99069,-1.2925
200,4.99069,-1.2925
201,4.99069,-1.2925
202,4.99069,-1.2925
203,4.99069,-1.2925
204,4.99069,-1.2925
205,4.99069,-1.2925
206,4.39064,-1.89255
207,3.60524,-2.67795
208,3.60524,-2.67795
209,4.39064,-1.89255
210,4.39064,-1.89255
211,4.39064,-1.89255
212,3.60524,-2.67795
213,3.60524,-2.67795
214,4.24874,-2.03444
215,4.24874,-2.03444
216,3.36839,-2.91479
217,3.36839,-2.91479
218,3.36839,-2.91479
219,3.36839,-2.91479
220,3.36839,-2.91479
221,3.36839,-2.91479
222,3.36839,-2.91479
223,3.36839,-2.91479
224,3.36839,-2.91479
225,3.36839,-2.91479
226,3.36839,-2.91479
227,3.36839,-2.91479
228,3.36839,-2.91479
229,3.36839,-2.91479
230,3.36839,-2.91479
231,3.36839,-2.91479
232,3.36839,-2.91479
233,3.36839,-2.91479
234,3.36839,-2.91479
235,3.36839,-2.91479
236,3.36839,-2.91479
237,3.55982,-2.72337
238,3.55982,-2.72337
239,3.55982,-2.72337
240,3.55982,-2.72337
241,3.55982,-2.72337
242,3.64869,-2.63449
243,3.64869,-2.63449
244,3.64869,-2.63449
245,3.64869,-2.63449
246,3.70019,-2.58299
247,3.70019,-2.58299
248,3.70019,-2.58299
249,3.70019,-2.58299
250,3.70019,-2.58299
251,3.70019,-2.58299
252,4.12439,-2.1588
253,4.12439,-2.1588
254,4.12439,-2.1588
255,4.12439,-2.1588
256,4.12439,-2.1588
257,4.12439,-2.1588
258,4.43409,-1.8491
259,4.43409,-1.8491
260,4.43409,-1.8491
261,4.43409,-1.8491
262,4.54724,-1.73595
263,4.54724,-1.73595
264,4.54724,-1.73595
265,4.87754,-1.40565
266,4.87754,-1.40565
267,4.87754,-1.40565
268,4.99069,-1.2925
269,4.99069,-1.2925
270,4.99069,-1.2925
271,4.99069,-1.2925
272,5.4452,-0.837981
273,5.4452,-0.837981
274,5.4452,-0.837981
275,5.4452,-0.837981
276,5.4452,-0.837981
277,5.4452,-0.837981
278,5.4452,-0.837981
279,5.4452,-0.837981
280,5.4452,-0.837981
281,5.4452,-0.837981
282,5.4452,-0.837981
283,5.4452,-0.837981
284,5.4452,-0.837981
285,5.4452,-0.837981
286,5.4452,-0.837981
287,5.4452,-0.837981
288,5.4452,-0.837981
289,5.34119,-0.942
290,5.34119,-0.942
291,5.34119,-0.942
292,5.34119,-0.942
293,5.34119,-0.942
