n,tangent,t2
0,1.30454,1.30454
1,1.30454,1.30454
2,1.30454,1.30454
3,1.30454,1.30454
4,1.30454,1.30454
5,1.30454,1.30454
6,1.30454,1.30454
7,1.30454,1.30454
8,1.30454,1.30454
9,1.30454,1.30454
10,1.30454,1.30454
11,1.30454,1.30454
12,1.30454,1.30454
13,1.35213,1.35213
14,1.35213,1.35213
15,1.49949,1.49949
16,1.49949,1.49949
17,1.49949,1.49949
18,1.49949,1.49949
19,1.49949,1.49949
20,1.49949,1.49949
21,1.49949,1.49949
22,1.49949,1.49949
23,1.49949,1.49949
24,1.49949,1.49949
25,1.49949,1.49949
26,1.49949,1.49949
27,1.49949,1.49949
28,1.49949,1.49949
29,1.19029,1.19029
30,1.19029,1.19029
31,1.19029,1.19029
32,1.19029,1.19029
33,1.32582,1.32582
34,1.32582,1.32582
35,1.32582,1.32582
36,1.32582,1.32582
37,0.982794,0.982794
38,0.982794,0.982794
39,0.982794,0.982794
40,1.24905,1.24905
41,1.24905,1.24905
42,1.24905,1.24905
43,0.982794,0.982794
44,0.982794,0.982794
45,0.982794,0.982794
46,1.3734,1.3734
47,1.3734,1.3734
48,1.3734,1.3734
49,1.3734,1.3734
50,1.3734,1.3734
51,1.3734,1.3734
52,1.3734,1.3734
53,1.3734,1.3734
54,1.66146,1.66146
55,1.66146,1.66146
56,1.66146,1.66146
57,1.66146,1.66146
58,1.66146,1.66146
59,1.66146,1.66146
60,1.66146,1.66146
61,1.66146,1.66146
62,1.66146,1.66146
63,1.66146,1.66146
64,1.66146,1.66146
65,1.66146,1.66146
66,1.66146,1.66146
67,1.66146,1.66146
68,1.78947,1.78947
69,1.78947,1.78947
70,1.78947,1.78947
71,1.83705,1.83705
72,1.83705,1.83705
73,1.86225,1.86225
74,1.86225,1.86225
75,1.86225,1.86225
76,1.86225,1.86225
77,1.91957,1.91957
78,1.91957,1.91957
79,1.91957,1.91957
80,1.91957,1.91957
81,1.97569,1.97569
82,1.97569,1.97569
83,1.97569,1.97569
84,2.08994,2.08994
85,2.08994,2.08994
86,2.08994,2.08994
87,2.1294,2.1294
88,2.1294,2.1294
89,2.1294,2.1294
90,2.1294,2.1294
91,2.1294,2.1294
92,2.1294,2.1294
93,2.1294,2.1294
94,2.1294,2.1294
95,2.1294,2.1294
96,2.1294,2.1294
97,2.1294,2.1294
98,2.1294,2.1294
99,2.1294,2.1294
100,2.1294,2.1294
101,2.1294,2.1294
102,2.1294,2.1294
103,1.89255,1.89255
104,1.89255,1.89255
105,1.89255,1.89255
106,2.13753,2.13753
107,2.13753,2.13753
108,2.13753,2.13753
109,2.13753,2.13753
110,2.13753,2.13753
111,2.13753,2.13753
112,2.13753,2.13753
113,2.13753,2.13753
114,2.13753,2.13753
115,2.13753,2.13753
116,2.13753,2.13753
117,2.13753,2.13753
118,2.13753,2.13753
119,2.13753,2.13753
120,2.13753,2.13753
121,2.13753,2.13753
122,2.13753,2.13753
123,2.13753,2.13753
124,2.13753,2.13753
125,2.13753,2.13753
126,2.13753,2.13753
127,2.19105,2.19105
128,2.19105,2.19105
129,2.28963,2.28963
130,2.28963,2.28963
131,2.28963,2.28963
132,2.28963,2.28963
133,2.28963,2.28963
134,2.28963,2.28963
135,2.28963,2.28963
136,2.28963,2.28963
137,2.28963,2.28963
138,2.28963,2.28963
139,2.28963,2.28963
140,2.28963,2.28963
141,2.28963,2.28963
142,2.07789,2.07789
143,2.07789,2.07789
144,2.07789,2.07789
145,2.07789,2.07789
146,2.07789,2.07789
147,2.07789,2.07789
148,2.07789,2.07789
149,2.07789,2.07789
150,2.07789,2.07789
151,2.07789,2.07789
152,2.07789,2.07789
153,2.1294,2.1294
154,2.1294,2.1294
155,2.1294,2.1294
156,2.19105,2.19105
157,2.19105,2.19105
158,2.24554,2.24554
159,2.24554,2.24554
160,2.24554,2.24554
161,2.24554,2.24554
162,2.24554,2.24554
163,2.24554,2.24554
164,2.24554,2.24554
165,2.19105,2.19105
166,2.19105,2.19105
167,2.19105,2.19105
168,2.1294,2.1294
169,2.1294,2.1294
170,2.08994,2.08994
171,2.08994,2.08994
172,2.08994,2.08994
173,2.08994,2.08994
174,2.08994,2.08994
175,2.08994,2.08994
176,2.08994,2.08994
177,2.08994,2.08994
178,2.26553,2.26553
179,2.26553,2.26553
180,2.26553,2.26553
181,2.26553,2.26553
182,2.44685,2.44685
183,2.44685,2.44685
184,2.44685,2.44685
185,2.44685,2.44685
186,2.44685,2.44685
187,2.44685,2.44685
188,2.24554,2.24554
189,2.24554,2.24554
190,2.24554,2.24554
191,2.24554,2.24554
192,2.24554,2.24554
193,2.24554,2.24554
194,2.24554,2.24554
195,2.24554,2.24554
196,2.24554,2.24554
197,2.19105,2.19105
198,2.19105,2.19105
199,2.19105,2.19105
200,2.19105,2.19105
201,2.19105,2.19105
202,1.76819,1.76819
203,1.76819,1.76819
204,1.76819,1.76819
205,1.76819,1.76819
206,1.76819,1.76819
207,1.86225,1.86225
208,1.86225,1.86225
209,1.86225,1.86225
210,1.86225,1.86225
211,1.86225,1.86225
212,1.86225,1.86225
213,1.86225,1.86225
214,1.86225,1.86225
215,2.24554,2.24554
216,2.24554,2.24554
217,2.24554,2.24554
218,2.44685,2.44685
219,2.44685,2.44685
220,2.44685,2.44685
221,2.44685,2.44685
222,2.44685,2.44685
223,2.44685,2.44685
224,2.44685,2.44685
225,2.44685,2.44685
226,2.44685,2.44685
227,2.26553,2.26553
228,2.26553,2.26553
229,2.26553,2.26553
230,2.26553,2.26553
231,2.11122,2.11122
232,2.11122,2.11122
233,1.9513,1.9513
234,1.9513,1.9513
235,1.9513,1.9513
236,1.9513,1.9513
237,2.29744,2.29744
238,2.29744,2.29744
239,2.29744,2.29744
240,2.29744,2.29744
241,2.29744,2.29744
242,2.29744,2.29744
243,2.29744,2.29744
244,2.29744,2.29744
245,2.29744,2.29744
246,2.29744,2.29744
247,2.29744,2.29744
248,2.29744,2.29744
249,2.29744,2.29744
250,2.29744,2.29744
251,2.29744,2.29744
252,2.18152,2.18152
253,2.18152,2.18152
254,2.18152,2.18152
255,2.18152,2.18152
256,2.18152,2.18152
257,2.13753,2.13753
258,2.13753,2.13753
259,2.13753,2.13753
260,2.13753,2.13753
261,2.13753,2.13753
262,2.13753,2.13753
263,2.13753,2.13753
264,1.9513,1.9513
265,1.9513,1.9513
266,1.9513,1.9513
267,1.9513,1.9513
268,2.67795,2.67795
269,2.67795,2.67795
270,1.89255,1.89255
271,1.89255,1.89255
272,1.89255,1.89255
273,2.2143,2.2143
274,2.2143,2.2143
275,2.2143,2.2143
276,2.2143,2.2143
277,2.2143,2.2143
278,2.2143,2.2143
279,2.2143,2.2143
280,2.67795,2.67795
281,2.67795,2.67795
282,2.11122,2.11122
283,2.11122,2.11122
284,2.11122,2.11122
285,2.11122,2.11122
286,2.11122,2.11122
287,2.27942,2.27942
288,2.27942,2.27942
289,2.27942,2.27942
290,2.27942,2.27942
291,2.27942,2.27942
292,2.27942,2.27942
293,2.27942,2.27942
294,2.27942,2.27942
295,2.27942,2.27942
296,2.27942,2.27942
297,2.27942,2.27942
298,1.96559,1.96559
299,1.96559,1.96559
300,1.96559,1.96559
301,1.96559,1.96559
302,1.96559,1.96559
303,1.96559,1.96559
304,1.96559,1.96559
305,1.96559,1.96559
306,1.96559,1.96559
307,1.96559,1.96559
308,1.96559,1.96559
309,1.96559,1.96559
310,1.96559,1.96559
311,2.08994,2.08994
312,2.08994,2.08994
313,2.08994,2.08994
314,2.24554,2.24554
315,2.24554,2.24554
316,2.24554,2.24554
317,2.46685,2.46685
318,2.46685,2.46685
319,2.46685,2.46685
320,2.46685,2.46685
321,2.46685,2.46685
322,1.89255,1.89255
323,1.89255,1.89255
324,1.89255,1.89255
325,2.2143,2.2143
326,2.2143,2.2143
327,2.2143,2.2143
328,2.2143,2.2143
329,2.2143,2.2143
330,2.2143,2.2143
331,2.2143,2.2143
332,2.67795,2.67795
333,2.67795,2.67795
334,2.1588,2.1588
335,2.1588,2.1588
336,2.1588,2.1588
337,2.1588,2.1588
338,2.1588,2.1588
339,2.1588,2.1588
340,2.1588,2.1588
341,2.1588,2.1588
342,2.1588,2.1588
343,2.1588,2.1588
344,2.1588,2.1588
345,2.1588,2.1588
346,2.67795,2.67795
347,2.67795,2.67795
348,2.19105,2.19105
349,2.19105,2.19105
350,2.19105,2.19105
351,2.19105,2.19105
352,2.19105,2.19105
353,2.19105,2.19105
354,2.19105,2.19105
355,2.19105,2.19105
356,2.19105,2.19105
357,2.19105,2.19105
358,2.19105,2.19105
359,2.19105,2.19105
360,2.1294,2.1294
361,2.1294,2.1294
362,2.1294,2.1294
363,2.1294,2.1294
364,2.1294,2.1294
365,2.1294,2.1294
366,2.1294,2.1294
367,2.1294,2.1294
368,2.19105,2.19105
369,2.19105,2.19105
370,2.19105,2.19105
371,2.19105,2.19105
372,2.19105,2.19105
373,2.19105,2.19105
374,2.19105,2.19105
375,2.09887,2.09887
376,2.09887,2.09887
377,2.09887,2.09887
378,2.09887,2.09887
379,2.09887,2.09887
380,2.09887,2.09887
381,2.09887,2.09887
382,2.09887,2.09887
383,2.07789,2.07789
384,2.07789,2.07789
385,2.07789,2.07789
386,2.07789,2.07789
387,2.07789,2.07789
388,2.07789,2.07789
389,2.07789,2.07789
390,2.07789,2.07789
391,2.07789,2.07789
392,2.07789,2.07789
393,2.07789,2.07789
394,2.2143,2.2143
395,2.2143,2.2143
396,2.2143,2.2143
397,2.2143,2.2143
398,2.2143,2.2143
399,2.11122,2.11122
400,2.11122,2.11122
401,2.11122,2.11122
402,2.11122,2.11122
403,2.11122,2.11122
404,2.11122,2.11122
405,2.11122,2.11122
406,2.11122,2.11122
407,2.11122,2.11122
408,2.11122,2.11122
409,2.11122,2.11122
410,2.11122,2.11122
411,2.11122,2.11122
412,2.11122,2.11122
413,2.11122,2.11122
414,2.11122,2.11122
415,2.11122,2.11122
416,2.11122,2.11122
417,2.11122,2.11122
418,2.11122,2.11122
419,2.11122,2.11122
420,2.30361,2.30361
421,2.30361,2.30361
422,2.30361,2.30361
423,2.30361,2.30361
424,2.30361,2.30361
425,2.30361,2.30361
426,2.30361,2.30361
427,2.30361,2.30361
428,2.30361,2.30361
429,2.30361,2.30361
430,2.30361,2.30361
431,2.30361,2.30361
432,2.30361,2.30361
433,2.30361,2.30361
434,2.30361,2.30361
435,2.30361,2.30361
436,2.30361,2.30361
437,2.13753,2.13753
438,2.13753,2.13753
439,2.13753,2.13753
440,2.13753,2.13753
441,2.13753,2.13753
442,2.13753,2.13753
443,2.13753,2.13753
444,2.13753,2.13753
445,2.13753,2.13753
446,2.13753,2.13753
447,2.18152,2.18152
448,2.18152,2.18152
449,2.18152,2.18152
450,2.18152,2.18152
451,2.18152,2.18152
452,2.26553,2.26553
453,2.26553,2.26553
454,2.26553,2.26553
455,2.26553,2.26553
456,2.26553,2.26553
457,2.26553,2.26553
458,2.26553,2.26553
459,2.26553,2.26553
460,2.26553,2.26553
461,2.17634,2.17634
462,2.17634,2.17634
463,2.17634,2.17634
464,2.17634,2.17634
465,2.17634,2.17634
466,2.17634,2.17634
467,2.17634,2.17634
468,2.17634,2.17634
469,2.17634,2.17634
470,2.17634,2.17634
471,2.17634,2.17634
472,2.17634,2.17634
473,2.17634,2.17634
474,2.17634,2.17634
475,2.17634,2.17634
476,2.17634,2.17634
477,2.17634,2.17634
478,2.17634,2.17634
479,2.17634,2.17634
480,2.17634,2.17634
481,2.17634,2.17634
482,2.17634,2.17634
483,2.17634,2.17634
484,2.17634,2.17634
485,2.17634,2.17634
