n,tangent,t2
0,4.46741,-1.81577
1,4.46741,-1.81577
2,4.46741,-1.81577
3,4.46741,-1.81577
4,4.46741,-1.81577
5,4.46741,-1.81577
6,4.46741,-1.81577
7,4.06889,-2.2143
8,4.06889,-2.2143
9,3.78509,-2.49809
10,3.78509,-2.49809
11,3.78509,-2.49809
12,3.78509,-2.49809
13,3.78509,-2.49809
14,4.03765,-2.24554
15,4.03765,-2.24554
16,4.03765,-2.24554
17,4.03765,-2.24554
18,4.03765,-2.24554
19,4.03765,-2.24554
20,4.03765,-2.24554
21,4.03765,-2.24554
22,4.03765,-2.24554
23,4.03765,-2.24554
24,4.09214,-2.19105
25,4.09214,-2.19105
26,4.09214,-2.19105
27,4.15379,-2.1294
28,4.15379,-2.1294
29,4.15379,-2.1294
30,4.15379,-2.1294
31,4.33188,-1.9513
32,4.33188,-1.9513
33,4.33188,-1.9513
34,4.33188,-1.9513
35,4.33188,-1.9513
36,4.33188,-1.9513
37,4.33188,-1.9513
38,4.33188,-1.9513
39,4.53254,-1.75065
40,4.53254,-1.75065
41,4.53254,-1.75065
42,4.53254,-1.75065
43,4.53254,-1.75065
44,4.53254,-1.75065
45,4.61272,-1.67046
46,4.61272,-1.67046
47,4.61272,-1.67046
48,4.61272,-1.67046
49,4.61272,-1.67046
50,4.81206,-1.47113
51,4.81206,-1.47113
52,4.81206,-1.47113
53,4.81206,-1.47113
54,4.81206,-1.47113
55,4.93106,-1.35213
56,4.93106,-1.35213
57,4.93106,-1.35213
58,4.97864,-1.30454
59,4.97864,-1.30454
60,4.97864,-1.30454
61,4.97864,-1.30454
62,5.07116,-1.21203
63,5.07116,-1.21203
64,5.07116,-1.21203
65,5.07116,-1.21203
66,5.07116,-1.21203
67,6.03821,-0.244979
68,6.03821,-0.244979
69,6.03821,-0.244979
70,6.03821,-0.244979
71,5.17604,-1.10715
72,5.17604,-1.10715
73,5.81954,-0.463648
74,5.81954,-0.463648
75,5.81954,-0.463648
76,3.92699,-2.35619
77,3.92699,-2.35619
78,5.42102,-0.86217
79,5.42102,-0.86217
80,5.42102,-0.86217
81,5.42102,-0.86217
82,5.42102,-0.86217
83,5.42102,-0.86217
84,5.42102,-0.86217
85,5.42102,-0.86217
86,5.42102,-0.86217
87,5.42102,-0.86217
88,5.42102,-0.86217
89,5.42102,-0.86217
90,5.42102,-0.86217
91,5.42102,-0.86217
92,5.42102,-0.86217
93,5.42102,-0.86217
94,5.42102,-0.86217
95,3.60524,-2.67795
96,3.60524,-2.67795
97,3.60524,-2.67795
98,5.30039,-0.982794
99,5.30039,-0.982794
100,5.30039,-0.982794
101,5.30039,-0.982794
102,5.30039,-0.982794
103,5.60844,-0.674741
104,5.60844,-0.674741
105,5.60844,-0.674741
106,5.60844,-0.674741
107,5.60844,-0.674741
108,5.38713,-0.896055
109,5.38713,-0.896055
110,5.38713,-0.896055
111,5.38713,-0.896055
112,5.38713,-0.896055
113,5.66294,-0.620249
114,5.66294,-0.620249
115,5.66294,-0.620249
116,5.66294,-0.620249
117,5.66294,-0.620249
118,5.66294,-0.620249
119,5.66294,-0.620249
120,5.57456,-0.708626
121,5.57456,-0.708626
122,5.57456,-0.708626
123,5.57456,-0.708626
124,5.57456,-0.708626
125,5.57456,-0.708626
126,5.57456,-0.708626
127,5.57456,-0.708626
128,5.57456,-0.708626
129,5.57456,-0.708626
130,5.57456,-0.708626
131,5.96143,-0.321751
132,5.96143,-0.321751
133,5.96143,-0.321751
134,5.63968,-0.643501
135,5.63968,-0.643501
136,5.63968,-0.643501
137,5.63968,-0.643501
138,5.63968,-0.643501
139,5.63968,-0.643501
140,0.463648,0.463648
141,0.463648,0.463648
142,0.463648,0.463648
143,5.56436,-0.71883
144,5.56436,-0.71883
145,5.56436,-0.71883
146,5.56436,-0.71883
147,5.56436,-0.71883
148,5.56436,-0.71883
149,5.56436,-0.71883
150,5.56436,-0.71883
151,5.56436,-0.71883
152,5.56436,-0.71883
153,5.56436,-0.71883
154,5.56436,-0.71883
155,5.56436,-0.71883
156,5.66294,-0.620249
157,5.66294,-0.620249
158,5.66294,-0.620249
159,5.66294,-0.620249
160,5.66294,-0.620249
161,5.96143,-0.321751
162,5.96143,-0.321751
163,5.96143,-0.321751
164,5.69518,-0.588003
165,5.30039,-0.982794
166,5.30039,-0.982794
167,5.30039,-0.982794
168,5.30039,-0.982794
169,5.76404,-0.519146
170,5.76404,-0.519146
171,5.76404,-0.519146
172,5.76404,-0.519146
