n,tangent,t2
0,4.87754,-1.40565
1,4.87754,-1.40565
2,4.87754,-1.40565
3,4.87754,-1.40565
4,4.87754,-1.40565
5,4.87754,-1.40565
6,4.87754,-1.40565
7,4.87754,-1.40565
8,4.87754,-1.40565
9,4.87754,-1.40565
10,4.87754,-1.40565
11,4.87754,-1.40565
12,5.0929,-1.19029
13,5.0929,-1.19029
14,5.25281,-1.03038
15,5.38713,-0.896055
16,5.38713,-0.896055
17,5.38713,-0.896055
18,5.60844,-0.674741
19,5.60844,-0.674741
20,5.60844,-0.674741
21,5.74277,-0.54042
22,5.74277,-0.54042
23,5.90268,-0.380506
24,5.90268,-0.380506
25,5.90268,-0.380506
26,5.90268,-0.380506
27,5.90268,-0.380506
28,5.90268,-0.380506
29,5.90268,-0.380506
30,5.90268,-0.380506
31,6.20641,-0.0767719
32,6.20641,-0.0767719
33,6.20641,-0.0767719
34,6.20641,-0.0767719
35,6.20641,-0.0767719
36,6.20641,-0.0767719
37,6.20641,-0.0767719
38,0.0767719,0.0767719
39,0.0767719,0.0767719
40,0.0767719,0.0767719
41,0.0767719,0.0767719
42,0.0767719,0.0767719
43,0.0767719,0.0767719
44,0.2783,0.2783
45,0.2783,0.2783
46,0.358771,0.358771
47,0.358771,0.358771
48,0.358771,0.358771
49,0.358771,0.358771
50,0.54042,0.54042
51,0.643501,0.643501
52,0.643501,0.643501
53,0.927295,0.927295
54,0.927295,0.927295
55,1.03038,1.03038
56,1.03038,1.03038
57,1.21203,1.21203
58,1.21203,1.21203
59,1.21203,1.21203
60,1.2925,1.2925
61,1.2925,1.2925
62,1.40565,1.40565
63,1.40565,1.40565
64,1.40565,1.40565
65,1.73595,1.73595
66,1.73595,1.73595
67,1.73595,1.73595
68,1.73595,1.73595
69,1.73595,1.73595
70,1.73595,1.73595
71,1.73595,1.73595
72,1.40565,1.40565
73,1.40565,1.40565
74,1.40565,1.40565
75,1.1659,1.1659
76,1.1659,1.1659
77,1.1659,1.1659
78,1.1659,1.1659
79,1.1659,1.1659
80,1.1659,1.1659
81,1.1659,1.1659
82,1.1659,1.1659
83,1.1659,1.1659
84,1.1659,1.1659
85,1.1659,1.1659
86,1.1659,1.1659
87,1.03038,1.03038
88,0.927295,0.927295
89,0.927295,0.927295
90,0.927295,0.927295
91,0.927295,0.927295
92,0.927295,0.927295
93,1.24905,1.24905
94,1.24905,1.24905
95,1.24905,1.24905
96,0.463648,0.463648
97,0.463648,0.463648
98,1.03038,1.03038
99,1.03038,1.03038
100,1.03038,1.03038
101,1.03038,1.03038
102,1.03038,1.03038
103,0.927295,0.927295
104,0.927295,0.927295
105,0.643501,0.643501
106,0.643501,0.643501
107,0.643501,0.643501
108,0.643501,0.643501
109,0.950547,0.950547
110,0.950547,0.950547
111,0.950547,0.950547
112,0.950547,0.950547
113,0.950547,0.950547
114,0.950547,0.950547
115,0.950547,0.950547
116,0.86217,0.86217
117,0.86217,0.86217
118,0.86217,0.86217
119,0.86217,0.86217
120,0.86217,0.86217
121,0.86217,0.86217
122,0.86217,0.86217
123,0.86217,0.86217
124,0.86217,0.86217
125,0.86217,0.86217
126,0.86217,0.86217
127,0.86217,0.86217
128,0.86217,0.86217
129,0.86217,0.86217
130,0.86217,0.86217
131,0.86217,0.86217
132,0.86217,0.86217
133,0.86217,0.86217
134,0.708626,0.708626
135,0.708626,0.708626
136,0.708626,0.708626
137,0.708626,0.708626
138,0.708626,0.708626
139,0.708626,0.708626
140,0.708626,0.708626
141,0.708626,0.708626
142,0.708626,0.708626
143,0.876058,0.876058
144,0.876058,0.876058
145,0.876058,0.876058
146,0.876058,0.876058
147,0.876058,0.876058
148,0.876058,0.876058
149,0.876058,0.876058
150,0.876058,0.876058
151,0.694738,0.694738
152,0.694738,0.694738
153,0.694738,0.694738
154,0.694738,0.694738
155,0.694738,0.694738
156,0.694738,0.694738
157,0.694738,0.694738
158,0.982794,0.982794
159,0.982794,0.982794
160,0.982794,0.982794
161,0.982794,0.982794
162,0.708626,0.708626
163,0.708626,0.708626
164,0.708626,0.708626
165,0.708626,0.708626
166,0.708626,0.708626
167,0.708626,0.708626
168,0.708626,0.708626
169,0.708626,0.708626
170,0.708626,0.708626
171,0.708626,0.708626
172,0.708626,0.708626
173,0.708626,0.708626
174,0.708626,0.708626
175,0.708626,0.708626
176,0.507099,0.507099
177,0.507099,0.507099
178,0.507099,0.507099
179,0.507099,0.507099
180,0.507099,0.507099
181,0.418224,0.418224
182,0.418224,0.418224
183,0.418224,0.418224
184,0.418224,0.418224
185,0.394791,0.394791
186,0.394791,0.394791
187,0.394791,0.394791
188,0.394791,0.394791
189,0.367174,0.367174
190,0.367174,0.367174
191,0.367174,0.367174
192,0.367174,0.367174
193,0.367174,0.367174
194,0.367174,0.367174
195,0.367174,0.367174
196,0.367174,0.367174
197,0.367174,0.367174
198,5.96143,-0.321751
199,5.96143,-0.321751
200,5.96143,-0.321751
201,0.54042,0.54042
202,0.54042,0.54042
203,0.54042,0.54042
204,0.54042,0.54042
205,0.54042,0.54042
206,0.380506,0.380506
207,0.291457,0.291457
208,0.291457,0.291457
209,0.291457,0.291457
210,0.291457,0.291457
211,0.291457,0.291457
212,0.291457,0.291457
213,0.291457,0.291457
214,0.291457,0.291457
215,0.291457,0.291457
216,0.291457,0.291457
217,0.291457,0.291457
218,0.291457,0.291457
219,0.291457,0.291457
220,0.291457,0.291457
221,0.291457,0.291457
222,0.291457,0.291457
223,0.291457,0.291457
224,0.380506,0.380506
225,0.380506,0.380506
226,0.519146,0.519146
227,0.519146,0.519146
228,0.519146,0.519146
229,0.519146,0.519146
230,0.519146,0.519146
231,0.519146,0.519146
232,0.519146,0.519146
233,0.519146,0.519146
234,0.519146,0.519146
235,0.519146,0.519146
236,0.519146,0.519146
237,0.519146,0.519146
238,0.708626,0.708626
239,0.708626,0.708626
240,0.708626,0.708626
241,0.708626,0.708626
242,0.708626,0.708626
243,0.86217,0.86217
244,0.86217,0.86217
245,0.86217,0.86217
246,0.86217,0.86217
247,0.86217,0.86217
248,0.950547,0.950547
249,0.950547,0.950547
250,0.950547,0.950547
251,1.0122,1.0122
252,1.0122,1.0122
253,1.0122,1.0122
254,1.0122,1.0122
255,1.19029,1.19029
256,1.35213,1.35213
257,1.35213,1.35213
258,1.35213,1.35213
259,1.35213,1.35213
260,1.35213,1.35213
261,1.44644,1.44644
262,1.44644,1.44644
263,1.44644,1.44644
264,1.44644,1.44644
265,1.44644,1.44644
266,1.44644,1.44644
267,1.44644,1.44644
268,1.44644,1.44644
269,0.982794,0.982794
270,0.982794,0.982794
271,0.982794,0.982794
272,0.982794,0.982794
273,0.982794,0.982794
274,0.982794,0.982794
275,0.982794,0.982794
276,0.982794,0.982794
277,0.982794,0.982794
278,0.982794,0.982794
279,0.982794,0.982794
280,0.620249,0.620249
281,0.620249,0.620249
282,0.620249,0.620249
283,0.620249,0.620249
