n,tangent,t2
0,4.90978,-1.3734
1,4.90978,-1.3734
2,4.90978,-1.3734
3,4.90978,-1.3734
4,4.90978,-1.3734
5,4.90978,-1.3734
6,4.90978,-1.3734
7,5.0929,-1.19029
8,5.0929,-1.19029
9,5.0929,-1.19029
10,5.69518,-0.588003
11,5.69518,-0.588003
12,5.69518,-0.588003
13,5.30039,-0.982794
14,5.30039,-0.982794
15,5.30039,-0.982794
16,6.03821,-0.244979
17,6.03821,-0.244979
18,6.03821,-0.244979
19,6.03821,-0.244979
20,5.69518,-0.588003
21,5.69518,-0.588003
22,5.69518,-0.588003
23,5.69518,-0.588003
24,5.69518,-0.588003
25,5.69518,-0.588003
26,5.69518,-0.588003
27,5.69518,-0.588003
28,5.69518,-0.588003
29,5.69518,-0.588003
30,5.17604,-1.10715
31,5.17604,-1.10715
32,5.69518,-0.588003
33,5.69518,-0.588003
34,5.69518,-0.588003
35,5.69518,-0.588003
36,5.69518,-0.588003
37,5.69518,-0.588003
38,5.69518,-0.588003
39,5.69518,-0.588003
40,5.69518,-0.588003
41,5.69518,-0.588003
42,5.96143,-0.321751
43,5.96143,-0.321751
44,5.96143,-0.321751
45,5.63968,-0.643501
46,5.63968,-0.643501
47,5.63968,-0.643501
48,5.63968,-0.643501
49,5.63968,-0.643501
50,5.77609,-0.507099
51,5.77609,-0.507099
52,5.77609,-0.507099
53,5.77609,-0.507099
54,5.77609,-0.507099
55,5.86496,-0.418224
56,5.86496,-0.418224
57,5.86496,-0.418224
58,5.86496,-0.418224
59,5.92441,-0.358771
60,5.92441,-0.358771
61,6.00489,-0.2783
62,6.00489,-0.2783
63,6.00489,-0.2783
64,6.00489,-0.2783
65,6.00489,-0.2783
66,6.00489,-0.2783
67,5.90268,-0.380506
68,5.90268,-0.380506
69,5.90268,-0.380506
70,5.90268,-0.380506
71,5.90268,-0.380506
72,5.90268,-0.380506
73,5.90268,-0.380506
74,5.69518,-0.588003
75,5.30039,-0.982794
76,4.99069,-1.2925
77,4.99069,-1.2925
78,4.99069,-1.2925
79,4.99069,-1.2925
80,4.99069,-1.2925
81,4.99069,-1.2925
82,4.99069,-1.2925
83,4.99069,-1.2925
84,4.99069,-1.2925
85,4.80305,-1.48014
86,4.80305,-1.48014
87,4.80305,-1.48014
88,4.80305,-1.48014
89,4.80305,-1.48014
90,4.80305,-1.48014
91,4.62173,-1.66146
92,4.62173,-1.66146
93,4.62173,-1.66146
94,4.62173,-1.66146
95,4.62173,-1.66146
96,4.3075,-1.97569
97,4.3075,-1.97569
98,4.3075,-1.97569
99,4.19324,-2.08994
100,4.19324,-2.08994
101,4.19324,-2.08994
102,4.19324,-2.08994
103,3.68201,-2.60117
104,3.68201,-2.60117
105,3.68201,-2.60117
106,3.5221,-2.76109
107,3.38657,-2.89661
108,3.38657,-2.89661
109,3.38657,-2.89661
110,3.38657,-2.89661
111,3.7296,-2.55359
112,3.7296,-2.55359
113,3.7296,-2.55359
114,3.7296,-2.55359
115,2.35619,2.35619
116,2.35619,2.35619
117,3.30674,-2.97644
