n,tangent,t2
0,1.24905,1.24905
1,1.24905,1.24905
2,1.24905,1.24905
3,1.24905,1.24905
4,0.982794,0.982794
5,0.982794,0.982794
6,0.982794,0.982794
7,1.48766,1.48766
8,1.48766,1.48766
9,1.48766,1.48766
10,1.48766,1.48766
11,1.48766,1.48766
12,1.48766,1.48766
13,1.6065,1.6065
14,1.6065,1.6065
15,1.6065,1.6065
16,1.6065,1.6065
17,1.6065,1.6065
18,1.6065,1.6065
19,1.6065,1.6065
20,1.6065,1.6065
21,1.6065,1.6065
22,1.6065,1.6065
23,1.6065,1.6065
24,1.6065,1.6065
25,1.6065,1.6065
26,1.6065,1.6065
27,1.6065,1.6065
28,1.6065,1.6065
29,1.6065,1.6065
30,1.6065,1.6065
31,1.6065,1.6065
32,1.6065,1.6065
33,1.6065,1.6065
34,1.6065,1.6065
35,1.6065,1.6065
36,1.6065,1.6065
37,1.6065,1.6065
38,1.6065,1.6065
39,1.6065,1.6065
40,1.6065,1.6065
41,1.6065,1.6065
42,1.6065,1.6065
43,1.6065,1.6065
44,1.6065,1.6065
45,1.6065,1.6065
46,1.6065,1.6065
47,1.6065,1.6065
48,1.6065,1.6065
49,1.6065,1.6065
50,1.6065,1.6065
51,1.6065,1.6065
52,1.6065,1.6065
53,1.4289,1.4289
54,1.4289,1.4289
55,1.4289,1.4289
56,1.2925,1.2925
57,1.2925,1.2925
58,1.2925,1.2925
59,1.2925,1.2925
60,0.950547,0.950547
61,0.950547,0.950547
62,0.950547,0.950547
63,0.950547,0.950547
64,0.950547,0.950547
65,0.950547,0.950547
66,0.950547,0.950547
67,0.950547,0.950547
68,0.950547,0.950547
69,0.950547,0.950547
70,1.05165,1.05165
71,1.05165,1.05165
72,1.05165,1.05165
73,1.1659,1.1659
74,1.1659,1.1659
75,1.1659,1.1659
76,1.22203,1.22203
77,1.22203,1.22203
78,1.22203,1.22203
79,1.22203,1.22203
80,1.27934,1.27934
81,1.27934,1.27934
82,1.27934,1.27934
83,1.27934,1.27934
84,1.40565,1.40565
85,1.40565,1.40565
86,1.40565,1.40565
87,1.40565,1.40565
88,1.40565,1.40565
89,1.40565,1.40565
90,1.2925,1.2925
91,1.2925,1.2925
92,1.21203,1.21203
93,1.21203,1.21203
94,1.16067,1.16067
95,1.16067,1.16067
96,1.16067,1.16067
97,1.16067,1.16067
98,1.16067,1.16067
99,1.16067,1.16067
100,1.16067,1.16067
101,1.16067,1.16067
102,1.16067,1.16067
103,1.16067,1.16067
104,1.16067,1.16067
105,1.16067,1.16067
106,1.16067,1.16067
107,1.16067,1.16067
108,1.16067,1.16067
109,1.16067,1.16067
110,1.16067,1.16067
111,1.16067,1.16067
112,1.16067,1.16067
113,1.16067,1.16067
114,1.16067,1.16067
115,1.16067,1.16067
116,1.16067,1.16067
117,1.16067,1.16067
118,1.16067,1.16067
119,1.16067,1.16067
120,1.16067,1.16067
121,1.16067,1.16067
122,1.16067,1.16067
123,1.16067,1.16067
124,1.21203,1.21203
125,1.21203,1.21203
126,1.21203,1.21203
127,1.21203,1.21203
128,1.21203,1.21203
129,1.21203,1.21203
130,1.21203,1.21203
131,1.21203,1.21203
132,1.21203,1.21203
133,1.21203,1.21203
134,1.21203,1.21203
135,1.21203,1.21203
136,1.21203,1.21203
137,1.21203,1.21203
138,0.404892,0.404892
139,0.404892,0.404892
140,0.404892,0.404892
141,0.404892,0.404892
142,0.404892,0.404892
143,0.404892,0.404892
144,0.179853,0.179853
145,0.179853,0.179853
146,0.179853,0.179853
147,0.179853,0.179853
148,0.179853,0.179853
149,0.179853,0.179853
150,0.141897,0.141897
151,0.141897,0.141897
152,0.141897,0.141897
153,0.141897,0.141897
154,0.141897,0.141897
155,0.141897,0.141897
156,0.141897,0.141897
157,1.10715,1.10715
158,1.10715,1.10715
159,0.197396,0.197396
160,0.197396,0.197396
161,0.197396,0.197396
162,0.197396,0.197396
163,0.197396,0.197396
164,0.380506,0.380506
165,0.380506,0.380506
166,0.54042,0.54042
167,0.54042,0.54042
168,0.54042,0.54042
169,0.54042,0.54042
170,0.404892,0.404892
171,0.404892,0.404892
172,0.404892,0.404892
173,0.404892,0.404892
174,0.404892,0.404892
175,0.404892,0.404892
176,0.519146,0.519146
177,0.519146,0.519146
178,0.519146,0.519146
179,0.694738,0.694738
180,0.694738,0.694738
181,0.694738,0.694738
182,0.694738,0.694738
183,0.876058,0.876058
184,0.876058,0.876058
185,0.876058,0.876058
186,0.876058,0.876058
187,1.03038,1.03038
188,1.03038,1.03038
189,1.19029,1.19029
190,1.35213,1.35213
191,1.35213,1.35213
192,1.35213,1.35213
193,1.35213,1.35213
194,1.35213,1.35213
195,1.40565,1.40565
196,1.40565,1.40565
197,1.40565,1.40565
198,1.40565,1.40565
199,1.40565,1.40565
200,1.40565,1.40565
201,1.40565,1.40565
202,1.40565,1.40565
203,1.69515,1.69515
204,1.69515,1.69515
205,1.69515,1.69515
206,1.69515,1.69515
207,1.69515,1.69515
208,1.69515,1.69515
209,1.69515,1.69515
210,1.69515,1.69515
211,1.69515,1.69515
212,1.69515,1.69515
213,1.75065,1.75065
214,1.75065,1.75065
215,1.75065,1.75065
216,1.75065,1.75065
217,1.75065,1.75065
218,1.75065,1.75065
219,1.8491,1.8491
220,1.8491,1.8491
221,1.92957,1.92957
222,1.92957,1.92957
223,1.97569,1.97569
224,1.97569,1.97569
225,1.97569,1.97569
226,2.08994,2.08994
227,2.08994,2.08994
228,2.08994,2.08994
229,2.28963,2.28963
230,2.28963,2.28963
231,2.28963,2.28963
232,2.28963,2.28963
233,2.28963,2.28963
234,2.28963,2.28963
235,2.42276,2.42276
236,2.42276,2.42276
237,2.42276,2.42276
238,2.42276,2.42276
239,2.42276,2.42276
240,2.42276,2.42276
241,2.76109,2.76109
242,2.76109,2.76109
243,2.76109,2.76109
244,2.76109,2.76109
245,2.76109,2.76109
246,2.76109,2.76109
247,2.76109,2.76109
248,2.76109,2.76109
249,3.60524,-2.67795
250,3.60524,-2.67795
251,3.60524,-2.67795
252,2.97644,2.97644
253,2.97644,2.97644
254,2.97644,2.97644
255,2.97644,2.97644
256,3.30674,-2.97644
257,3.30674,-2.97644
258,3.30674,-2.97644
259,3.30674,-2.97644
260,3.30674,-2.97644
261,2.35619,2.35619
262,2.35619,2.35619
263,3.28349,-2.9997
264,3.28349,-2.9997
265,3.28349,-2.9997
266,3.28349,-2.9997
267,3.28349,-2.9997
268,3.28349,-2.9997
269,3.28349,-2.9997
270,3.28349,-2.9997
271,3.35565,-2.92753
272,3.35565,-2.92753
273,3.35565,-2.92753
274,3.35565,-2.92753
275,3.35565,-2.92753
276,3.35565,-2.92753
277,3.35565,-2.92753
278,3.35565,-2.92753
279,3.35565,-2.92753
280,3.35565,-2.92753
281,3.35565,-2.92753
282,3.35565,-2.92753
283,3.35565,-2.92753
284,3.35565,-2.92753
285,3.35565,-2.92753
286,3.35565,-2.92753
287,3.35565,-2.92753
288,3.35565,-2.92753
289,3.35565,-2.92753
290,3.35565,-2.92753
291,3.35565,-2.92753
292,3.35565,-2.92753
293,3.35565,-2.92753
294,3.36507,-2.91812
295,3.36507,-2.91812
296,3.36507,-2.91812
297,3.36507,-2.91812
298,3.36507,-2.91812
299,3.36507,-2.91812
300,3.36507,-2.91812
301,3.36507,-2.91812
302,3.36507,-2.91812
